UserID,R,S,R_l
U58550,N55689 N59981 N7809 N35729,N55689,"['N55689', 'N59981', 'N7809', 'N35729']"
U47695,N17310 N35815 N19536 N50872,N19536,"['N17310', 'N35815', 'N19536', 'N50872']"
U49716,N555 N5587 N21882,N555,"['N555', 'N5587', 'N21882']"
U34115,N57614 N39471 N40472 N350,N39471,"['N57614', 'N39471', 'N40472', 'N350']"
U13460,N41881 N27845,N41881,"['N41881', 'N27845']"
U25292,N56211 N48302,N56211,"['N56211', 'N48302']"
U84079,N40839 N63970,N63970,"['N40839', 'N63970']"
U26383,N63970 N40839 N58363,N63970,"['N63970', 'N40839', 'N58363']"
U74193,N57090 N33632 N27581 N35729,N35729,"['N57090', 'N33632', 'N27581', 'N35729']"
U6386,N59981 N43502 N30998 N13930 N55204,N13930,"['N59981', 'N43502', 'N30998', 'N13930', 'N55204']"
U90663,N42977 N47061,N42977,"['N42977', 'N47061']"
U17874,N61022 N49279,N49279,"['N61022', 'N49279']"
U89963,N47061 N45266 N35170 N42977,N45266,"['N47061', 'N45266', 'N35170', 'N42977']"
U73721,N63970 N24111,N63970,"['N63970', 'N24111']"
U43897,N4642 N56214 N36221 N51048,N4642,"['N4642', 'N56214', 'N36221', 'N51048']"
U51279,N55689 N55204 N53585 N52622,N53585,"['N55689', 'N55204', 'N53585', 'N52622']"
U37069,N61022 N59390 N44651,N61022,"['N61022', 'N59390', 'N44651']"
U38280,N59981 N35729 N7809 N55689,N35729,"['N59981', 'N35729', 'N7809', 'N55689']"
U40118,N14478 N61595 N55275,N14478,"['N14478', 'N61595', 'N55275']"
U34268,N35729 N48759 N49685 N31273,N35729,"['N35729', 'N48759', 'N49685', 'N31273']"
U69342,N42457 N3031,N42457,"['N42457', 'N3031']"
U44990,N41222 N54489 N53585 N55689 N30518,N54489,"['N41222', 'N54489', 'N53585', 'N55689', 'N30518']"
U33753,N49279 N61022,N49279,"['N49279', 'N61022']"
U52529,N40472 N39471,N40472,"['N40472', 'N39471']"
U7680,N20678 N17059 N19092 N45704,N20678,"['N20678', 'N17059', 'N19092', 'N45704']"
U23956,N20495 N7821,N20495,"['N20495', 'N7821']"
U49768,N23414 N41222 N54489 N46029 N53585,N54489,"['N23414', 'N41222', 'N54489', 'N46029', 'N53585']"
U63546,N23414 N13930 N55204 N38662 N55689,N23414,"['N23414', 'N13930', 'N55204', 'N38662', 'N55689']"
U70115,N12029 N33885,N12029,"['N12029', 'N33885']"
U17948,N55689 N35729,N35729,"['N55689', 'N35729']"
U3716,N51346 N35729 N59981,N35729,"['N51346', 'N35729', 'N59981']"
U53299,N33619 N20079 N453 N50675,N20079,"['N33619', 'N20079', 'N453', 'N50675']"
U77791,N35729 N55689,N55689,"['N35729', 'N55689']"
U9992,N8191 N54489 N46526,N54489,"['N8191', 'N54489', 'N46526']"
U60499,N40109 N19661,N19661,"['N40109', 'N19661']"
U19161,N57090 N27581 N35729 N47035,N27581,"['N57090', 'N27581', 'N35729', 'N47035']"
U43946,N49279 N61022 N21882,N49279,"['N49279', 'N61022', 'N21882']"
U91204,N40839 N56243,N40839,"['N40839', 'N56243']"
U25632,N55689 N6693,N55689,"['N55689', 'N6693']"
U46094,N27845 N41881,N41881,"['N27845', 'N41881']"
U79387,N42457 N56214,N56214,"['N42457', 'N56214']"
U5366,N42457 N48064,N42457,"['N42457', 'N48064']"
U44554,N64190 N29952,N29952,"['N64190', 'N29952']"
U65236,N40109 N49712 N23877 N50872 N48017,N40109,"['N40109', 'N49712', 'N23877', 'N50872', 'N48017']"
U57352,N51048 N287 N64094 N39010,N39010,"['N51048', 'N287', 'N64094', 'N39010']"
U59772,N40380 N49200 N17059 N64851,N64851,"['N40380', 'N49200', 'N17059', 'N64851']"
U12180,N9473 N64916,N9473,"['N9473', 'N64916']"
U15083,N61022 N61768,N61022,"['N61022', 'N61768']"
U40275,N55689 N6693,N55689,"['N55689', 'N6693']"
U54921,N40839 N42634 N62360 N63970,N63970,"['N40839', 'N42634', 'N62360', 'N63970']"
U11646,N23548 N47020 N51398,N23548,"['N23548', 'N47020', 'N51398']"
U80121,N24686 N45616,N45616,"['N24686', 'N45616']"
U24702,N1940 N61032 N4642 N39774,N4642,"['N1940', 'N61032', 'N4642', 'N39774']"
U24496,N287 N39010,N287,"['N287', 'N39010']"
U80669,N20495 N33885,N33885,"['N20495', 'N33885']"
U13826,N39010 N287,N287,"['N39010', 'N287']"
U88523,N4642 N13907,N4642,"['N4642', 'N13907']"
U74360,N48064 N56214 N42457,N56214,"['N48064', 'N56214', 'N42457']"
U71462,N59673 N47061 N287,N287,"['N59673', 'N47061', 'N287']"
U81293,N53585 N36712,N53585,"['N53585', 'N36712']"
U56805,N27198 N34048 N28523,N28523,"['N27198', 'N34048', 'N28523']"
U54540,N20079 N6099,N20079,"['N20079', 'N6099']"
U10506,N47578 N20079 N50675 N33619,N33619,"['N47578', 'N20079', 'N50675', 'N33619']"
U5738,N58363 N63970,N58363,"['N58363', 'N63970']"
U47464,N35729 N55689,N55689,"['N35729', 'N55689']"
U13248,N287 N47061,N287,"['N287', 'N47061']"
U1944,N26179 N47020 N59852,N59852,"['N26179', 'N47020', 'N59852']"
U83533,N63970 N58363,N58363,"['N63970', 'N58363']"
U42980,N7319 N49180 N33619 N50675,N33619,"['N7319', 'N49180', 'N33619', 'N50675']"
U27749,N20495 N7821 N33885,N33885,"['N20495', 'N7821', 'N33885']"
U25232,N36789 N16920 N50675 N33619,N50675 N33619,"['N36789', 'N16920', 'N50675', 'N33619']"
U52073,N35729 N21707 N55689 N59981,N35729,"['N35729', 'N21707', 'N55689', 'N59981']"
U32066,N52867 N19661,N52867,"['N52867', 'N19661']"
U24432,N42977 N12029,N42977,"['N42977', 'N12029']"
U4005,N49180 N33619 N41020,N41020,"['N49180', 'N33619', 'N41020']"
U64513,N62128 N47061 N287 N51048,N287,"['N62128', 'N47061', 'N287', 'N51048']"
U91024,N58363 N40839 N64851 N63970,N64851,"['N58363', 'N40839', 'N64851', 'N63970']"
U59684,N11551 N4642,N11551,"['N11551', 'N4642']"
U63857,N61233 N41934 N56211 N48487,N61233,"['N61233', 'N41934', 'N56211', 'N48487']"
U68353,N35729 N27581 N6693 N55689,N55689,"['N35729', 'N27581', 'N6693', 'N55689']"
U58727,N39700 N5957,N5957,"['N39700', 'N5957']"
U43174,N42977 N47061 N45266 N13579,N45266,"['N42977', 'N47061', 'N45266', 'N13579']"
U78613,N47061 N45266,N47061,"['N47061', 'N45266']"
U53038,N42961 N55689 N27581 N35729,N55689,"['N42961', 'N55689', 'N27581', 'N35729']"
U71665,N55689 N35729,N55689,"['N55689', 'N35729']"
U46393,N55689 N35729,N55689,"['N55689', 'N35729']"
U20237,N38779 N6578,N6578,"['N38779', 'N6578']"
U20296,N42961 N55689 N27581 N35729,N55689,"['N42961', 'N55689', 'N27581', 'N35729']"
U30457,N12493 N64851 N63970 N58363,N12493,"['N12493', 'N64851', 'N63970', 'N58363']"
U82186,N47035 N35729 N57090,N35729,"['N47035', 'N35729', 'N57090']"
U91716,N35729 N55689,N55689,"['N35729', 'N55689']"
U88250,N50872 N9623 N23877 N64174 N8015,N64174,"['N50872', 'N9623', 'N23877', 'N64174', 'N8015']"
U54503,N49685 N36681 N57651,N49685,"['N49685', 'N36681', 'N57651']"
U77475,N56214 N42457,N56214,"['N56214', 'N42457']"
U67348,N23414 N13930 N55689 N53585,N53585,"['N23414', 'N13930', 'N55689', 'N53585']"
U70755,N33885 N12029 N42977 N7821,N42977,"['N33885', 'N12029', 'N42977', 'N7821']"
U11969,N61233 N61740,N61233,"['N61233', 'N61740']"
U48890,N44651 N61022 N49279,N49279,"['N44651', 'N61022', 'N49279']"
U64692,N30135 N16804 N23414 N555 N61392,N23414,"['N30135', 'N16804', 'N23414', 'N555', 'N61392']"
U42986,N29218 N36752 N47020 N48958 N39342,N36752,"['N29218', 'N36752', 'N47020', 'N48958', 'N39342']"
U18865,N33619 N41020,N33619,"['N33619', 'N41020']"
U76314,N10960 N4642,N10960,"['N10960', 'N4642']"
U16027,N50872 N496 N40109,N50872,"['N50872', 'N496', 'N40109']"
U406,N33197 N48755 N32799,N32799,"['N33197', 'N48755', 'N32799']"
U81885,N63970 N58363,N58363,"['N63970', 'N58363']"
U33176,N56214 N4642,N56214,"['N56214', 'N4642']"
U15373,N43502 N21707 N59981 N55204 N52622,N55204,"['N43502', 'N21707', 'N59981', 'N55204', 'N52622']"
U16427,N47748 N4642 N61032 N39774,N47748,"['N47748', 'N4642', 'N61032', 'N39774']"
U52611,N40109 N19661,N19661,"['N40109', 'N19661']"
U93073,N35729 N55689 N6693 N27581,N55689,"['N35729', 'N55689', 'N6693', 'N27581']"
U37206,N63970 N7319 N20069 N62360 N64851,N7319,"['N63970', 'N7319', 'N20069', 'N62360', 'N64851']"
U15826,N23414 N46029 N8191 N46526,N23414,"['N23414', 'N46029', 'N8191', 'N46526']"
U60480,N33885 N20495,N33885,"['N33885', 'N20495']"
U77657,N57651 N36681 N49685,N49685,"['N57651', 'N36681', 'N49685']"
U28575,N12377 N20134,N20134,"['N12377', 'N20134']"
U85610,N63970 N40839 N27560 N58363,N58363,"['N63970', 'N40839', 'N27560', 'N58363']"
U48169,N52622 N55689,N52622,"['N52622', 'N55689']"
U82300,N35729 N55689,N55689,"['N35729', 'N55689']"
U75757,N61022 N44651 N49279,N49279,"['N61022', 'N44651', 'N49279']"
U63842,N48759 N49685 N56193 N35729,N35729,"['N48759', 'N49685', 'N56193', 'N35729']"
U66342,N7319 N33619,N7319,"['N7319', 'N33619']"
U89079,N43309 N38783 N18613,N18613,"['N43309', 'N38783', 'N18613']"
U66337,N45270 N55689 N55204,N55689,"['N45270', 'N55689', 'N55204']"
U15857,N62360 N7319 N52122 N41020,N52122,"['N62360', 'N7319', 'N52122', 'N41020']"
U63378,N62360 N63970 N7319 N20069,N63970,"['N62360', 'N63970', 'N7319', 'N20069']"
U26437,N42634 N40839 N58363 N63970,N63970,"['N42634', 'N40839', 'N58363', 'N63970']"
U25057,N35389 N4642,N4642,"['N35389', 'N4642']"
U59221,N47578 N33619 N50675,N33619,"['N47578', 'N33619', 'N50675']"
U10507,N48017 N50872 N23877 N49712,N23877,"['N48017', 'N50872', 'N23877', 'N49712']"
U59369,N55689 N6693,N55689,"['N55689', 'N6693']"
U38833,N63970 N58363 N40839 N64851,N58363,"['N63970', 'N58363', 'N40839', 'N64851']"
U32146,N36789 N16920 N33619 N23429 N50675,N23429,"['N36789', 'N16920', 'N33619', 'N23429', 'N50675']"
U30742,N53848 N26025 N51048 N33501,N53848,"['N53848', 'N26025', 'N51048', 'N33501']"
U20855,N57097 N64916 N1034 N9473,N9473,"['N57097', 'N64916', 'N1034', 'N9473']"
U90330,N51048 N56214 N4642 N64252,N4642,"['N51048', 'N56214', 'N4642', 'N64252']"
U51779,N51048 N33501 N48705 N26025,N51048 N48705,"['N51048', 'N33501', 'N48705', 'N26025']"
U83959,N3031 N16148 N49712 N42457 N51048,N42457,"['N3031', 'N16148', 'N49712', 'N42457', 'N51048']"
U6153,N63970 N7319,N7319,"['N63970', 'N7319']"
U18638,N45270 N55689,N55689,"['N45270', 'N55689']"
U87871,N56214 N4642,N56214,"['N56214', 'N4642']"
U63221,N20495 N7821 N33885,N7821,"['N20495', 'N7821', 'N33885']"
U37127,N55689 N35729,N55689,"['N55689', 'N35729']"
U40859,N62729 N47020,N47020,"['N62729', 'N47020']"
U28999,N8015 N40109 N64174 N10552 N50872,N64174,"['N8015', 'N40109', 'N64174', 'N10552', 'N50872']"
U60106,N64851 N12493,N12493,"['N64851', 'N12493']"
U8162,N46917 N50055 N2235,N50055,"['N46917', 'N50055', 'N2235']"
U84438,N14184 N50675 N33619 N20079,N33619,"['N14184', 'N50675', 'N33619', 'N20079']"
U85080,N33619 N49180 N7319 N50675,N33619,"['N33619', 'N49180', 'N7319', 'N50675']"
U66937,N56214 N8509 N21128 N4642,N4642,"['N56214', 'N8509', 'N21128', 'N4642']"
U35562,N23184 N33501 N26025 N51048,N23184,"['N23184', 'N33501', 'N26025', 'N51048']"
U18032,N35729 N47035 N57090 N27581,N27581,"['N35729', 'N47035', 'N57090', 'N27581']"
U16674,N62360 N52122,N52122,"['N62360', 'N52122']"
U78747,N36681 N49685 N57651,N49685,"['N36681', 'N49685', 'N57651']"
U42101,N287 N39010,N287,"['N287', 'N39010']"
U49485,N33885 N20495,N20495,"['N33885', 'N20495']"
U20440,N50872 N40109,N40109,"['N50872', 'N40109']"
U72280,N24171 N32641 N5146 N10552 N47570,N32641,"['N24171', 'N32641', 'N5146', 'N10552', 'N47570']"
U91548,N287 N39010,N287,"['N287', 'N39010']"
U73455,N4642 N56214,N56214,"['N4642', 'N56214']"
U53969,N61233 N14478,N14478,"['N61233', 'N14478']"
U83270,N58363 N63970,N58363,"['N58363', 'N63970']"
U24617,N35729 N55689,N55689,"['N35729', 'N55689']"
U26075,N42977 N47061,N42977,"['N42977', 'N47061']"
U49330,N62093 N64542 N28047 N49685 N52446,N49685,"['N62093', 'N64542', 'N28047', 'N49685', 'N52446']"
U16011,N49279 N61022 N21882,N49279,"['N49279', 'N61022', 'N21882']"
U61693,N61022 N49279 N44651,N49279,"['N61022', 'N49279', 'N44651']"
U1042,N38779 N50872 N35815,N35815,"['N38779', 'N50872', 'N35815']"
U71368,N27581 N35729 N55689 N42961,N35729 N55689,"['N27581', 'N35729', 'N55689', 'N42961']"
U59997,N27845 N41881,N41881,"['N27845', 'N41881']"
U92602,N61233 N14478,N61233,"['N61233', 'N14478']"
U29155,N54489 N42597 N46029,N42597,"['N54489', 'N42597', 'N46029']"
U12292,N19661 N40109,N19661,"['N19661', 'N40109']"
U64755,N61022 N61768,N61768,"['N61022', 'N61768']"
U68531,N40839 N58363 N63970 N42634,N63970,"['N40839', 'N58363', 'N63970', 'N42634']"
U5159,N55689 N42961 N35729 N27581,N35729,"['N55689', 'N42961', 'N35729', 'N27581']"
U49290,N55689 N35729,N55689,"['N55689', 'N35729']"
U36047,N56214 N4642,N56214,"['N56214', 'N4642']"
U27470,N51764 N49685,N49685,"['N51764', 'N49685']"
U36510,N31273 N49685 N56193 N43073,N49685,"['N31273', 'N49685', 'N56193', 'N43073']"
U39137,N57032 N59267 N1228 N19661 N40109,N19661,"['N57032', 'N59267', 'N1228', 'N19661', 'N40109']"
U13633,N54489 N42597 N46029,N46029,"['N54489', 'N42597', 'N46029']"
U20333,N49279 N61022 N21882 N64513,N49279,"['N49279', 'N61022', 'N21882', 'N64513']"
U53465,N14809 N1782 N58656 N20413 N3250,N58656,"['N14809', 'N1782', 'N58656', 'N20413', 'N3250']"
U9434,N51048 N287 N26025 N39010,N287,"['N51048', 'N287', 'N26025', 'N39010']"
U92744,N35729 N62729 N49685 N48759,N35729,"['N35729', 'N62729', 'N49685', 'N48759']"
U4490,N47652 N42515 N19661 N41934 N61233,N19661,"['N47652', 'N42515', 'N19661', 'N41934', 'N61233']"
U28015,N56214 N4642,N56214,"['N56214', 'N4642']"
U30076,N27560 N40839 N63970 N62360,N40839,"['N27560', 'N40839', 'N63970', 'N62360']"
U67252,N41178 N41881 N27845 N24272,N27845,"['N41178', 'N41881', 'N27845', 'N24272']"
U78824,N58363 N63970 N64851,N58363,"['N58363', 'N63970', 'N64851']"
U27779,N23414 N55689 N13930,N23414,"['N23414', 'N55689', 'N13930']"
U30279,N57651 N49685 N36681,N49685,"['N57651', 'N49685', 'N36681']"
U29564,N61233 N61740 N56211 N48487 N41934,N48487,"['N61233', 'N61740', 'N56211', 'N48487', 'N41934']"
U63050,N21741 N41533 N2869 N33212,N33212,"['N21741', 'N41533', 'N2869', 'N33212']"
U30283,N35011 N19061,N19061,"['N35011', 'N19061']"
U56461,N58363 N63970,N63970,"['N58363', 'N63970']"
U20651,N41881 N3491,N41881,"['N41881', 'N3491']"
U75197,N63970 N58363,N58363,"['N63970', 'N58363']"
U7391,N4642 N56214,N56214,"['N4642', 'N56214']"
U66426,N55689 N53585,N53585,"['N55689', 'N53585']"
U91232,N6693 N55689,N55689,"['N6693', 'N55689']"
U78373,N53585 N55689,N53585,"['N53585', 'N55689']"
U33269,N54489 N46526 N41222 N53585 N30518,N53585,"['N54489', 'N46526', 'N41222', 'N53585', 'N30518']"
U20803,N46917 N60750,N60750,"['N46917', 'N60750']"
U93862,N4642 N56214,N56214,"['N4642', 'N56214']"
U16131,N23184 N51048,N51048,"['N23184', 'N51048']"
U82912,N54489 N23414 N46029,N54489,"['N54489', 'N23414', 'N46029']"
U23848,N35729 N55689,N55689,"['N35729', 'N55689']"
U85043,N55689 N52622,N52622,"['N55689', 'N52622']"
U40897,N63970 N62360 N7319 N20069,N63970,"['N63970', 'N62360', 'N7319', 'N20069']"
U52773,N55689 N42961 N35729 N27581,N55689,"['N55689', 'N42961', 'N35729', 'N27581']"
U55420,N7631 N9215 N42787,N7631,"['N7631', 'N9215', 'N42787']"
U39724,N13930 N45270 N55689 N30998 N55204,N55689,"['N13930', 'N45270', 'N55689', 'N30998', 'N55204']"
U2349,N58363 N6975 N40839 N63970,N63970,"['N58363', 'N6975', 'N40839', 'N63970']"
U45184,N39010 N287,N287,"['N39010', 'N287']"
U93737,N6693 N55689,N55689,"['N6693', 'N55689']"
U33811,N39317 N20495 N33885 N7821,N20495,"['N39317', 'N20495', 'N33885', 'N7821']"
U22461,N55689 N53585,N53585,"['N55689', 'N53585']"
U50814,N33619 N50675,N33619,"['N33619', 'N50675']"
U42654,N57005 N38998,N38998,"['N57005', 'N38998']"
U73313,N33677 N20495 N7821 N33885,N33885,"['N33677', 'N20495', 'N7821', 'N33885']"
U50498,N55689 N35729,N55689,"['N55689', 'N35729']"
U34817,N61740 N41934 N61233,N61233,"['N61740', 'N41934', 'N61233']"
U53559,N20495 N33885,N33885,"['N20495', 'N33885']"
U78912,N33619 N43519 N41020 N50675 N49180,N33619,"['N33619', 'N43519', 'N41020', 'N50675', 'N49180']"
U24913,N40109 N38779 N60550 N19484 N57733,N19484,"['N40109', 'N38779', 'N60550', 'N19484', 'N57733']"
U19015,N61022 N61768 N64916,N61022,"['N61022', 'N61768', 'N64916']"
U29361,N52122 N7319,N7319,"['N52122', 'N7319']"
U83657,N61740 N61233,N61233,"['N61740', 'N61233']"
U76218,N56214 N51048 N4642 N36221,N4642,"['N56214', 'N51048', 'N4642', 'N36221']"
U20891,N20495 N33885,N33885,"['N20495', 'N33885']"
U47315,N50675 N33619,N33619,"['N50675', 'N33619']"
U72671,N50872 N51253,N51253,"['N50872', 'N51253']"
U91331,N54489 N46029 N42597 N8191 N46526,N54489,"['N54489', 'N46029', 'N42597', 'N8191', 'N46526']"
U35382,N49685 N35729,N35729,"['N49685', 'N35729']"
U71650,N55689 N41222 N54489 N13930 N53585,N54489,"['N55689', 'N41222', 'N54489', 'N13930', 'N53585']"
U28237,N59981 N7809 N35729,N35729,"['N59981', 'N7809', 'N35729']"
U70449,N39010 N13907 N49483 N51048 N26025,N26025,"['N39010', 'N13907', 'N49483', 'N51048', 'N26025']"
U88356,N18708 N23414,N18708,"['N18708', 'N23414']"
U44826,N12379 N36621,N36621,"['N12379', 'N36621']"
U78145,N65119 N23446,N65119,"['N65119', 'N23446']"
U83510,N35729 N55689,N35729,"['N35729', 'N55689']"
U61461,N4642 N56214,N4642,"['N4642', 'N56214']"
U64834,N54489 N30518 N41222 N53585,N41222,"['N54489', 'N30518', 'N41222', 'N53585']"
U55272,N35729 N55689,N55689,"['N35729', 'N55689']"
U11757,N33885 N6890 N7821 N19092 N20495,N20495,"['N33885', 'N6890', 'N7821', 'N19092', 'N20495']"
U83346,N43073 N50060 N7104 N28047,N50060,"['N43073', 'N50060', 'N7104', 'N28047']"
U6182,N49685 N33632 N35729 N27581,N49685,"['N49685', 'N33632', 'N35729', 'N27581']"
U37524,N52622 N35729 N55689 N53585,N55689,"['N52622', 'N35729', 'N55689', 'N53585']"
U73262,N51048 N56214 N36221 N14029 N8509,N51048,"['N51048', 'N56214', 'N36221', 'N14029', 'N8509']"
U47789,N27581 N59981 N35729 N42961,N35729,"['N27581', 'N59981', 'N35729', 'N42961']"
U11399,N55689 N6693,N55689,"['N55689', 'N6693']"
U2163,N35729 N55689 N27581 N42961,N35729,"['N35729', 'N55689', 'N27581', 'N42961']"
U54327,N23446 N38779 N50872 N51570,N23446,"['N23446', 'N38779', 'N50872', 'N51570']"
U19536,N33619 N50675,N33619,"['N33619', 'N50675']"
U42446,N33885 N20495,N33885,"['N33885', 'N20495']"
U71869,N34579 N62366,N62366,"['N34579', 'N62366']"
U8168,N58051 N52000 N27845 N59852 N47020,N47020,"['N58051', 'N52000', 'N27845', 'N59852', 'N47020']"
U25161,N55689 N35729,N55689,"['N55689', 'N35729']"
U86740,N52622 N55689,N52622,"['N52622', 'N55689']"
U36535,N61740 N61233,N61233,"['N61740', 'N61233']"
U9462,N35729 N26376 N20824 N21707 N12028,N26376,"['N35729', 'N26376', 'N20824', 'N21707', 'N12028']"
U42422,N48578 N3474 N45616,N45616,"['N48578', 'N3474', 'N45616']"
U63153,N6693 N57090 N35729 N27581,N6693,"['N6693', 'N57090', 'N35729', 'N27581']"
U81422,N42597 N46029,N42597,"['N42597', 'N46029']"
U77731,N62360 N42634,N42634,"['N62360', 'N42634']"
U56752,N50675 N33619,N33619,"['N50675', 'N33619']"
U54593,N56214 N4642,N56214,"['N56214', 'N4642']"
U22966,N1034 N56051 N64916 N61022,N1034,"['N1034', 'N56051', 'N64916', 'N61022']"
U29698,N63970 N58363 N40839 N27560,N63970,"['N63970', 'N58363', 'N40839', 'N27560']"
U8769,N42634 N40839 N63970 N58363,N58363,"['N42634', 'N40839', 'N63970', 'N58363']"
U77769,N39010 N287,N287,"['N39010', 'N287']"
U56694,N49279 N61022 N21882 N64513,N49279,"['N49279', 'N61022', 'N21882', 'N64513']"
U91749,N33885 N20495 N7821,N33885,"['N33885', 'N20495', 'N7821']"
U41950,N49685 N28047 N64542 N62093,N49685,"['N49685', 'N28047', 'N64542', 'N62093']"
U19484,N64252 N56214,N64252,"['N64252', 'N56214']"
U82693,N53585 N23414 N46029 N41222 N54489,N54489,"['N53585', 'N23414', 'N46029', 'N41222', 'N54489']"
U44945,N51398 N27845 N41881,N41881,"['N51398', 'N27845', 'N41881']"
U7407,N61022 N21882 N49279,N49279,"['N61022', 'N21882', 'N49279']"
U68004,N45076 N40431,N45076,"['N45076', 'N40431']"
U22647,N7821 N17059 N33885,N7821,"['N7821', 'N17059', 'N33885']"
U18174,N1034 N47020,N1034,"['N1034', 'N47020']"
U42937,N7494 N19661 N61233 N1228 N33828,N33828,"['N7494', 'N19661', 'N61233', 'N1228', 'N33828']"
U67764,N27845 N41881 N51398,N41881,"['N27845', 'N41881', 'N51398']"
U2807,N35729 N27581 N49685,N27581,"['N35729', 'N27581', 'N49685']"
U52455,N55689 N6693,N55689,"['N55689', 'N6693']"
U27744,N23414 N54489 N46029,N23414,"['N23414', 'N54489', 'N46029']"
U53104,N61233 N48487 N56211 N61740 N41934,N61233 N41934,"['N61233', 'N48487', 'N56211', 'N61740', 'N41934']"
U45106,N27581 N33632 N49685 N35729,N49685,"['N27581', 'N33632', 'N49685', 'N35729']"
U59117,N55689 N35729 N52622 N53585,N55689,"['N55689', 'N35729', 'N52622', 'N53585']"
U83182,N7319 N41020 N52122 N62360,N52122,"['N7319', 'N41020', 'N52122', 'N62360']"
U22889,N20079 N33619,N20079,"['N20079', 'N33619']"
U1628,N38779 N23446,N23446,"['N38779', 'N23446']"
U5617,N57032 N19661 N40109 N1228,N19661,"['N57032', 'N19661', 'N40109', 'N1228']"
U38030,N55689 N52622 N35729 N53585,N55689 N52622,"['N55689', 'N52622', 'N35729', 'N53585']"
U10396,N50872 N64174 N40559 N56214 N3167,N64174,"['N50872', 'N64174', 'N40559', 'N56214', 'N3167']"
U81395,N56214 N4642,N4642,"['N56214', 'N4642']"
U79530,N56214 N64252 N51048 N4642 N14029,N4642,"['N56214', 'N64252', 'N51048', 'N4642', 'N14029']"
U83953,N55689 N6693,N55689,"['N55689', 'N6693']"
U15614,N47061 N287,N287,"['N47061', 'N287']"
U26368,N35729 N55689,N55689,"['N35729', 'N55689']"
U66868,N41934 N61233 N61740 N45523,N61233,"['N41934', 'N61233', 'N61740', 'N45523']"
U84270,N63970 N64851 N40839 N58363,N58363,"['N63970', 'N64851', 'N40839', 'N58363']"
U51192,N56214 N64252,N64252,"['N56214', 'N64252']"
U39579,N23446 N38779 N50872 N51570 N40109,N40109,"['N23446', 'N38779', 'N50872', 'N51570', 'N40109']"
U27639,N42634 N58363 N63970 N64851 N40839,N63970,"['N42634', 'N58363', 'N63970', 'N64851', 'N40839']"
U88608,N21707 N59981 N35729 N55689,N35729 N55689,"['N21707', 'N59981', 'N35729', 'N55689']"
U16589,N53585 N23414,N23414,"['N53585', 'N23414']"
U70596,N49279 N21882 N61022,N49279,"['N49279', 'N21882', 'N61022']"
U7914,N12493 N20678,N20678,"['N12493', 'N20678']"
U17018,N35729 N6693 N27581 N55689,N55689,"['N35729', 'N6693', 'N27581', 'N55689']"
U66308,N55689 N6693,N55689,"['N55689', 'N6693']"
U22509,N41178 N41881 N24272 N27845,N41881,"['N41178', 'N41881', 'N24272', 'N27845']"
U69131,N16920 N65118 N58410 N41222,N16920,"['N16920', 'N65118', 'N58410', 'N41222']"
U13390,N51048 N56214 N4642 N64252,N4642,"['N51048', 'N56214', 'N4642', 'N64252']"
U6749,N35729 N55689,N55689,"['N35729', 'N55689']"
U30836,N20134 N42143,N20134,"['N20134', 'N42143']"
U89574,N55689 N6693,N55689,"['N55689', 'N6693']"
U16085,N7319 N33619,N33619,"['N7319', 'N33619']"
U40019,N35729 N55689,N55689,"['N35729', 'N55689']"
U52456,N53585 N55689,N53585,"['N53585', 'N55689']"
U53874,N35729 N52622 N53585 N55689,N55689,"['N35729', 'N52622', 'N53585', 'N55689']"
U12714,N47061 N45266,N47061,"['N47061', 'N45266']"
U47252,N49279 N61022,N49279,"['N49279', 'N61022']"
U48635,N13579 N42977 N47061 N45266,N45266,"['N13579', 'N42977', 'N47061', 'N45266']"
U75114,N7319 N52122 N62360 N63970,N63970,"['N7319', 'N52122', 'N62360', 'N63970']"
U90880,N55689 N35729,N55689,"['N55689', 'N35729']"
U29494,N57651 N36681 N49685,N49685,"['N57651', 'N36681', 'N49685']"
U57965,N59390 N61022 N44651,N61022,"['N59390', 'N61022', 'N44651']"
U74269,N35729 N42961,N35729,"['N35729', 'N42961']"
U73171,N6693 N55689,N55689,"['N6693', 'N55689']"
U38959,N35729 N59981 N21707 N7809,N35729,"['N35729', 'N59981', 'N21707', 'N7809']"
U27258,N45266 N42977 N47061 N13579,N45266,"['N45266', 'N42977', 'N47061', 'N13579']"
U91494,N42457 N51048 N14029 N56214 N64252,N42457,"['N42457', 'N51048', 'N14029', 'N56214', 'N64252']"
U91913,N24732 N47061 N287,N287,"['N24732', 'N47061', 'N287']"
U34542,N55689 N52622,N52622,"['N55689', 'N52622']"
U17025,N50675 N33619 N23429,N23429,"['N50675', 'N33619', 'N23429']"
U52974,N41178 N25764 N39115 N24272,N41178,"['N41178', 'N25764', 'N39115', 'N24272']"
U91805,N12042 N62729,N62729,"['N12042', 'N62729']"
U67136,N61768 N64916 N61022 N57097,N61768,"['N61768', 'N64916', 'N61022', 'N57097']"
U83199,N35729 N42961 N55689 N27581,N35729,"['N35729', 'N42961', 'N55689', 'N27581']"
U84405,N6693 N55689,N55689,"['N6693', 'N55689']"
U73927,N52122 N7319 N62360,N7319,"['N52122', 'N7319', 'N62360']"
U10674,N39010 N287,N287,"['N39010', 'N287']"
U54507,N35729 N55689,N55689,"['N35729', 'N55689']"
